,0
0,0.088699326
1,0.014827364
2,0.06265664
3,0.11256249
4,0.4894281
5,0.007135296
6,0.11998818
7,0.17827274
8,0.06939031
9,0.023800261
10,0.06389957
11,0.0649202
12,0.35934424
13,0.040782854
14,0.28682342
15,0.11591614
16,0.06139988
17,0.1595327
18,0.004230147
19,0.48647097
20,0.029234927
21,0.34113756
22,0.77252257
23,0.43466434
24,0.016075095
25,0.2941456
26,0.12591735
27,0.8259319
28,0.023153957
29,0.46767932
30,0.09207843
31,0.06372251
32,0.011335531
33,0.012246274
34,0.63877493
35,0.9478285
36,0.10388277
37,0.081113115
38,0.011679897
39,0.09757386
40,0.022904633
41,0.877867
42,0.40210405
43,0.12707575
44,0.83092076
45,0.009596314
46,0.018792316
47,0.03794665
48,0.7053678
49,0.13076822
50,0.54280335
51,0.05562028
52,0.90462077
53,0.06228972
54,0.58222806
55,0.7575368
56,0.37352106
57,0.26343706
58,0.024651535
59,0.150868
60,0.038511172
61,0.5949698
62,0.16146004
63,0.7388726
64,0.019152654
65,0.015980275
66,0.9593741
67,0.6225617
68,0.40012386
69,0.48522997
70,0.08552675
71,0.044647675
72,0.15605167
73,0.8634926
74,0.09267258
75,0.24067125
76,0.011930819
77,0.12039296
78,0.1306298
79,0.120508
80,0.031908147
81,0.24129634
82,0.88172907
83,0.5236196
84,0.0606083
85,0.40209645
86,0.7681085
87,0.96261764
88,0.015323628
89,0.49406558
90,0.012385482
91,0.77524954
92,0.1485761
93,0.9675598
94,0.004052003
95,0.018700432
96,0.04587598
97,0.026326606
98,0.95218545
99,0.2624294
100,0.020448746
101,0.3644077
102,0.03993894
103,0.4394997
104,0.013260498
105,0.21721858
106,0.19883072
107,0.047680013
108,0.5756642
109,0.38478327
110,0.62393564
111,0.013816965
112,0.18954998
113,0.55057704
114,0.07159657
115,0.032069158
116,0.054307345
117,0.9074084
118,0.2244781
119,0.62077415
120,0.16672245
121,0.019871127
122,0.026591713
123,0.3736796
124,0.33980706
125,0.19734618
126,0.61414033
127,0.34517175
128,0.11571206
129,0.31838244
130,0.07742828
131,0.0067031994
132,0.48907873
133,0.21117467
134,0.40443018
135,0.10155283
136,0.06094786
137,0.17697668
138,0.18234731
139,0.09048597
140,0.6138004
141,0.1051548
142,0.20756249
143,0.010473888
144,0.13897204
145,0.22581607
146,0.027678007
147,0.041538294
148,0.15603231
149,0.012462053
150,0.09009061
151,0.4945656
152,0.074307315
153,0.31823796
154,0.8798955
155,0.5225071
156,0.67153466
157,0.8638072
158,0.8159573
159,0.035714358
160,0.4495595
161,0.07139722
162,0.10626648
163,0.021151816
164,0.9811431
165,0.5371046
166,0.5287732
167,0.16658574
168,0.73220414
169,0.13482076
170,0.41235358
171,0.08318016
172,0.024463786
173,0.012878221
174,0.98801595
175,0.017859591
176,0.6646694
177,0.06343627
178,0.085617945
179,0.8535024
180,0.01974793
181,0.14356597
182,0.24953108
183,0.012287371
184,0.20724623
185,0.1254454
186,0.025492273
187,0.04429312
188,0.036230452
189,0.6634895
190,0.40456042
191,0.5317585
192,0.42958617
193,0.006406179
194,0.035775416
195,0.73471653
196,0.0071971877
197,0.023983514
198,0.04054929
199,0.012628314
200,0.0054085054
201,0.26138288
202,0.15611395
203,0.11247012
204,0.86784077
205,0.16164228
206,0.036353633
207,0.065221965
208,0.07258801
209,0.42270038
210,0.07324248
211,0.19633962
212,0.6229188
213,0.9497857
214,0.8996486
215,0.084388554
216,0.12208678
217,0.6236566
218,0.1023847
219,0.5673368
220,0.14611782
221,0.020375839
222,0.33375737
223,0.70003664
224,0.11305377
225,0.4270921
226,0.2511364
227,0.18395744
228,0.07836977
229,0.32367754
230,0.036200028
231,0.5048158
232,0.083434045
233,0.13298425
234,0.75517964
235,0.02423706
236,0.73038006
237,0.108717375
238,0.346571
239,0.12766655
240,0.0034861614
241,0.4995805
242,0.11914726
243,0.19513433
244,0.44878724
245,0.31080595
246,0.77679455
247,0.18546535
248,0.114917465
249,0.2828347
